id,scenarioname,periodname,facilityname,productname,activitytype,cost,quantity,perunitcost,perunittransportationcost,perunitshipmentcost,perunitintransitholdingcost,perunitdutycost,perunitproductioncost,perunitprebuildholdingcost,perunitturnestimatedholdingcost,perunitstoragecost,perunitsourcingcost,perunitfacilityfixedoperatingcost,perunitfacilityfixedstartupcost,perunitfacilityfixedclosingcost,perunitworkcenterfixedoperatingcost,perunitworkcenterfixedstartupcost,perunitworkcenterfixedclosingcost,perunitinboundhandlingcost,perunitoutboundhandlingcost,perunitprocesscost,perunituserdefinedcost,latitude,longitude
435,3. All 4 MFGs,SinglePeriod,MFG_Shanghai,FG_0001,FacilityPostFixedCost,1251013.0903377046,257.440323413287,4859.429454372479,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,1459.429454372479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
436,3. All 4 MFGs,SinglePeriod,MFG_Belo Horizonte,FG_0001,FacilityPostFixedCost,20454238.70634686,3863.559676586713,5294.14333375,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.9227,-43.9451
437,3. All 4 MFGs,SinglePeriod,MFG_Chengdu,FG_0002,FacilityPostFixedCost,9631290.195466727,1207.362398933348,7977.132801199999,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,3727.1328012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659863,104.063372
438,3. All 4 MFGs,SinglePeriod,MFG_Shanghai,FG_0002,FacilityPostFixedCost,16134598.71606738,2825.956401599978,5709.429454372479,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1459.429454372479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
439,3. All 4 MFGs,SinglePeriod,MFG_Ho Chi Minh,FG_0002,FacilityPostFixedCost,8018405.997333369,603.681199466674,13282.517335999997,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,8282.517335999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7758439,106.7017555
440,3. All 4 MFGs,SinglePeriod,Port_Hong Kong,FG_0001,Facility,1595997.955734207,257.440323413287,6199.487067812755,1340.057613440276,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,1459.429454372479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
441,3. All 4 MFGs,SinglePeriod,Port_Recife,FG_0001,Facility,27366466.490936566,3863.559676586713,7083.226035507661,1789.082701757661,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1294.14333375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0642,-34.8782
442,3. All 4 MFGs,SinglePeriod,Port_Hong Kong,FG_0002,Facility,31354214.26961435,4033.318800533326,7773.800143313338,1385.540205088994,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,2138.259938224343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
443,3. All 4 MFGs,SinglePeriod,Port_Kuala Lumpur,FG_0002,Facility,8684484.438266255,603.681199466674,14385.878582832494,1103.361246832494,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,8282.517335999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1516964,101.6942371
444,3. All 4 MFGs,SinglePeriod,Port_Hong Kong,FG_0001,FacilityPostFixedCost,1595997.955734207,257.440323413287,6199.487067812755,1340.057613440276,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,1459.429454372479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2996535,114.1675485
