id,scenarioname,startingperiodname,completionperiodname,facilityname,productname,bomname,processname,productionquantity,productionquantityuom,productionvolume,productionvolumeuom,productionweight,productionweightuom,productioncost,processcost,productiontime,productiontimeuom,latitude,longitude
1513,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,Pack_Style_1,None,None,7727.119353173426,EA,7727.119353173426,CFT,7727.119353173426,LB,0.0,0,0,HR,-19.9227,-43.9451
1514,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Shanghai,Pack_Style_2,None,None,18548.0,EA,18548.0,CFT,18548.0,LB,0.0,0,0,HR,31.2322758,121.4692071
1515,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Shanghai,Water_1,None,None,45.457096468563,EA,45.457096468563,CFT,45.457096468563,LB,0.0,0,0,HR,31.2322758,121.4692071
1516,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,Water_1,None,None,682.201617066437,EA,682.201617066437,CFT,682.201617066437,LB,0.0,0,0,HR,-19.9227,-43.9451
1517,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Shanghai,Water_2,None,None,1310.032887032,EA,1310.032887032,CFT,1310.032887032,LB,0.0,0,0,HR,31.2322758,121.4692071
1518,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Shanghai,FG_0001,BOM_FG_0001,None,257.440323413287,EA,257.440323413287,CFT,257.440323413287,LB,875297.0996051756,0,0,HR,31.2322758,121.4692071
1519,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,FG_0001,BOM_FG_0001,None,3863.559676586713,EA,3863.559676586713,CFT,3863.559676586713,LB,15454238.706346853,0,0,HR,-19.9227,-43.9451
1520,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Shanghai,FG_0002,BOM_FG_0002,None,4637.0,EA,4637.0,CFT,4637.0,LB,19707250.0,0,0,HR,31.2322758,121.4692071
1521,Baseline,SinglePeriod,SinglePeriod,MFG_Shanghai,RM_0001,None,None,514.880646826574,EA,514.880646826574,CFT,514.880646826574,LB,0.0,0,0,HR,31.2322758,121.4692071
1522,Baseline,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,RM_0001,None,None,7727.119353173426,EA,7727.119353173426,CFT,7727.119353173426,LB,0.0,0,0,HR,-19.9227,-43.9451
1523,Baseline,SinglePeriod,SinglePeriod,MFG_Shanghai,RM_0002,None,None,13911.0,EA,13911.0,CFT,13911.0,LB,0.0,0,0,HR,31.2322758,121.4692071
1524,Baseline,SinglePeriod,SinglePeriod,MFG_Shanghai,Pack_Style_1,None,None,514.880646826574,EA,514.880646826574,CFT,514.880646826574,LB,0.0,0,0,HR,31.2322758,121.4692071
1525,Baseline,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,Pack_Style_1,None,None,7727.119353173426,EA,7727.119353173426,CFT,7727.119353173426,LB,0.0,0,0,HR,-19.9227,-43.9451
1526,Baseline,SinglePeriod,SinglePeriod,MFG_Shanghai,Pack_Style_2,None,None,18548.0,EA,18548.0,CFT,18548.0,LB,0.0,0,0,HR,31.2322758,121.4692071
1527,Baseline,SinglePeriod,SinglePeriod,MFG_Shanghai,Water_1,None,None,45.457096468563,EA,45.457096468563,CFT,45.457096468563,LB,0.0,0,0,HR,31.2322758,121.4692071
1528,Baseline,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,Water_1,None,None,682.201617066437,EA,682.201617066437,CFT,682.201617066437,LB,0.0,0,0,HR,-19.9227,-43.9451
1529,Baseline,SinglePeriod,SinglePeriod,MFG_Shanghai,Water_2,None,None,1310.032887032,EA,1310.032887032,CFT,1310.032887032,LB,0.0,0,0,HR,31.2322758,121.4692071
1530,Baseline,SinglePeriod,SinglePeriod,MFG_Shanghai,FG_0001,BOM_FG_0001,None,257.440323413287,EA,257.440323413287,CFT,257.440323413287,LB,875297.0996051756,0,0,HR,31.2322758,121.4692071
1531,Baseline,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,FG_0001,BOM_FG_0001,None,3863.559676586713,EA,3863.559676586713,CFT,3863.559676586713,LB,15454238.706346853,0,0,HR,-19.9227,-43.9451
1532,Baseline,SinglePeriod,SinglePeriod,MFG_Shanghai,FG_0002,BOM_FG_0002,None,4637.0,EA,4637.0,CFT,4637.0,LB,19707250.0,0,0,HR,31.2322758,121.4692071
